うみ,ocean/sea
おととし,the year before last
おもいで,memories
がいこく,foreign countries
がっき,semester/quarter
いちがっき,one semester
はるがっき,spring semester/quarter
かぶき,kabuki (Japanese traditional performing art)
きもの,traditional Japanese clothes/kimono
キャンプ,camping
きょうかい,church
クリスマス,Christmas
けんか,fight/quarrel
けんかをする,to fight
こんげつ,this month
しょうがつ,the New Year
じんじゃ,Shinto shrine
すいぞくかん,aquarium
せんげつ,last month
ちゅうがく/ちゅうがっこう,junior high school
デート,dating
デートする,to go out on a date
てら/おてら,Buddhist temple
どうぶつえん,zoo
とき,when/at the time of~
なつやすみ,summer holidays/summer break
はるやすみ,spring break
ふゆやすみ,winter break
はくぶつかん,museum
バレンタインデー,St. Valentine's Day
ハロウィン,Halloween
はんとし,a half-year
ひこうき,airplane
びじゅつかん,art museum
プレゼント,present, gift
まつり/おまつり,festival
ミュージカル,musical
やまのぼり,mountain climbing
ゆうえんち,amusement park
らいげつ,next month
なく,to cry
のる,to get on
もらう,to receive/to get
しつれんする,to be disappointed in love
はじめて,for the first time
〜かい,~ times
〜かげつ,counter for months (duration)
〜ご,from ~/after ~
さんねんご,three years from now
〜しゅうかん,for ~ weeks (duration)
〜ど,~ times (up to 3 times)/~ degree
〜にち,day
〜ねん,specific year/counter for year
じゅうねん,ten years (duration)
〜まえ,~ ago
いちねんまえ,one year ago
えーと,well/let's see ...
あけましておめでとうございます,Happy New Year!
